사이트,회사명,제목,링크
사람인,(주)아이센스,2026년 상반기 아이센스 대규모채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53817816&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)윈스테크넷,클라우드 시큐리티 스쿨 교육생 모집 (부산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53989789&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)싸이버원,[싸이버원]모의해킹정보보호 컨설팅 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53888971&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)핀시큐리티,정보보안 컨설팅모의해킹채용[신입],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54023300&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,넷마블(주),취약점 진단 및모의해킹담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53914412&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)시큐어코퍼,보안컨설팅 /모의해킹분야 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53785487&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,포트릭스(주),"[신입, 경력]모의해킹및 인프라 취약점 진단",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53942490&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)시큐어루트,모의해킹연간 상주(이천) 컨설턴트 모집(경력/프리랜서),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54080045&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)케이알시큐리티,(신입/경력) 오펜시브모의해킹,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53709795&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)인더포레스트,"[보안 컨설팅] 수준높은 취약점 진단,모의해킹컨설팅",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53611715&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)이글루코퍼레이션,[보안관제센터] 취약점진단 및모의해킹경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54028543&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)케이티알파,"정보보호(모의해킹/취약점진단, 침해사고대응)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54062336&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)지엔,모의해킹및 보안 컨설턴트 신입/경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53848795&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)씨드젠,[신입/경력]인프라 진단 및모의해킹컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53888586&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)글로벌에잇,[신입/경력] 보안 컨설팅(모의해킹/관리체계),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53832396&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
